campaign,seed,sentiment_js_distance_deepseek_minus_qwen,positive_share_deepseek_minus_qwen,neutral_share_deepseek_minus_qwen,negative_share_deepseek_minus_qwen,schema_valid_share_deepseek_minus_qwen,thai_character_ratio_deepseek_minus_qwen,latin_character_ratio_deepseek_minus_qwen,exact_duplicate_share_deepseek_minus_qwen,distinct_char_bigram_deepseek_minus_qwen,narrative_count_deepseek_minus_qwen,narrative_entropy_deepseek_minus_qwen,mean_length_chars_deepseek_minus_qwen,latency_seconds_deepseek_minus_qwen,prompt_tokens_deepseek_minus_qwen,completion_tokens_deepseek_minus_qwen,cost_usd_deepseek_minus_qwen
วิ่งแลกแว่น | Top Charoen,6,0.07265597039224059,-0.25,-0.08333333333333331,0.3333333333333333,0.0,0.0,0.0,0.0,0.07138334691420767,0.0,-4.440892098500626e-16,-3.6666666666666714,-7.913458470000478,-105.0,-333.0,-0.00041090899999999994
วิ่งแลกแว่น | Top Charoen,7,0.029884888194091963,-0.08333333333333337,0.0,0.08333333333333331,0.0,0.0,0.0,0.0,0.0487004130621152,-1.0,-0.16666666666666696,-14.999999999999993,49.754449330997886,-101.0,-280.0,-0.00042530000000000004
วิ่งแลกแว่น | Top Charoen,8,0.07732987540597197,-0.16666666666666669,0.0,0.16666666666666666,0.0,-0.007577653885538771,0.007577653885538743,0.0,-0.08605711818507256,-2.0,-0.3333333333333335,11.5,-11.212579174003622,-74.0,-31.0,-0.00032891699999999997
วิ่งแลกแว่น | Top Charoen,9,0.08595614717612093,0.16666666666666669,-0.16666666666666669,0.0,0.0,-0.034093540603733596,0.03802281368821293,0.0,-0.017962416900701828,0.0,0.0,3.75,-14.179987061004795,-83.0,-193.0,-0.000411549
วิ่งแลกแว่น | Top Charoen,10,0.19415436173465084,0.08333333333333331,-0.33333333333333337,0.25,0.0,0.0,0.0,0.0,0.07004064149372585,0.0,0.0,-14.833333333333329,51.03860068799986,-113.0,-298.0,-0.00042875
ไทยช่วยไทยพลัส,1,-0.09744465181114897,-0.16666666666666669,-0.25,0.4166666666666667,0.0,0.0,0.0,0.0,-0.025734549138804463,2.0,0.396240625180289,11.416666666666664,-6.0369747250006185,-102.0,-78.0,-0.000339751
ไทยช่วยไทยพลัส,2,0.0,0.0,0.0,0.0,0.0,-0.02872531418312385,0.02872531418312388,0.0,0.04352263126636391,0.0,0.0,5.166666666666671,-3.480447745001584,-108.0,-33.0,-0.0003489519999999999
ไทยช่วยไทยพลัส,3,-0.009508969183727095,0.0,-0.16666666666666669,0.16666666666666666,0.0,0.0,0.0,0.0,0.0421673029267966,-4.0,-0.666666666666667,-0.6666666666666643,49.119692881991796,-101.0,-176.0,-0.00036412399999999996
ไทยช่วยไทยพลัส,4,-0.12982606085745296,-0.08333333333333337,-0.33333333333333337,0.4166666666666667,0.0,0.0,0.0,0.0,0.15303030303030296,3.0,0.5000000000000004,-32.83333333333333,49.81111177599814,-98.0,-335.0,-0.00041652400000000004
ไทยช่วยไทยพลัส,5,0.06727070646598568,-0.08333333333333337,-0.08333333333333337,0.16666666666666666,0.0,0.0,0.0,0.0,0.07853931218860127,0.0,0.0,-14.083333333333329,-11.350594704003015,-102.0,-304.0,-0.0004337070000000001
ไทยช่วยไทยพลัส,6,0.014597402033965312,-0.08333333333333331,-0.25000000000000006,0.33333333333333337,0.0,0.0,0.0,0.0,0.06807551010449558,0.0,0.0,-4.916666666666671,1.3551031369934208,-106.0,-199.0,-0.000374618
ไทยช่วยไทยพลัส,7,-0.19760158349973916,-0.16666666666666669,-0.08333333333333337,0.25,0.0,0.0,0.0,0.0,0.024149659863945572,2.0,0.3333333333333335,-9.833333333333336,53.23135143500258,-102.0,-182.0,-0.000354469
ไทยช่วยไทยพลัส,8,-0.007596065417647541,-0.08333333333333337,-0.16666666666666669,0.25,0.0,-0.012295081967213073,0.012295081967213115,0.0,0.0665070327280039,7.0,1.4674700395364009,-3.0,-12.03847622199828,-75.0,-129.0,-0.00036066599999999994
ไทยช่วยไทยพลัส,9,-0.10096293243634746,0.08333333333333331,-0.16666666666666669,0.08333333333333334,0.0,-0.022792022792022748,0.022792022792022793,0.0,0.17834087663035075,1.0,0.16666666666666696,-13.5,44.35225994799839,-107.0,-270.0,-0.00039458799999999997
ไทยช่วยไทยพลัส,10,-0.322571967248775,0.16666666666666666,-0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.22645701317081257,0.0,0.0,-27.500000000000007,-13.052516110001307,-114.0,-294.0,-0.000404374
